bgc_class,n_strains_carrying,n_strains_total,prevalence_fraction,genus_core_7of7
NRPS,7,7,1.0,True
PKS,7,7,1.0,True
RiPP,7,7,1.0,True
aminopolycarboxylic-acid,7,7,1.0,True
arylpolyene,7,7,1.0,True
ectoine,7,7,1.0,True
halogenated,7,7,1.0,True
other,7,7,1.0,True
siderophore/metallophore,7,7,1.0,True
terpene,7,7,1.0,True
butyrolactone,6,7,0.8571,False
beta-lactam/lactone,4,7,0.5714,False
phosphonate,4,7,0.5714,False
furan,3,7,0.4286,False
redox-cofactor,3,7,0.4286,False
terpene-precursor,3,7,0.4286,False
hydrogen-cyanide,2,7,0.2857,False
ni-siderophore,2,7,0.2857,False
resorcinol,2,7,0.2857,False
hserlactone,1,7,0.1429,False
linaridin,1,7,0.1429,False
phenazine,1,7,0.1429,False
quinone_isoprenoid_chain,1,7,0.1429,False
rre-containing,1,7,0.1429,False
