# Bundled reference snapshot for actinomycete/bacterial phylogenetic trees.
# BUNDLED_REFERENCE_ONLY: retained row statuses describe this snapshot, not current project authority.
# Select an explicit governed external registry for outgroup generation. Location is not approval.
# Verbatim snapshot of OFFICIAL_DATA/OUTGROUP_REGISTRY.tsv taken for bundle v9.7.432 (source sha256 548d4a677a244809fa860b9deef7c4386c3bee1e8c701b66540f07866d9d5b49);
# the only edit is that owner-workspace folder names inside rationale text read <workspace>/ here.
# GENERIC engine asset: taxon -> a decided outgroup with a specific type-strain/reference genome + real accession.
# So any tree is rooted reproducibly, never ad-hoc. Applies to any project; carries no project/collection specifics.
#
# THE RULE (why some taxa have two rows): a GENUS tree roots on a SISTER GENUS in the SAME family (one rank out);
# a FAMILY tree roots OUTSIDE the family, on a sister-family/order genus. Never root on an ingroup member; never on
# a distant taxon; the outgroup genus must not also appear in the ingroup. This makes the sign-off "outgroup
# sanity" check pass by construction.
#
# All accessions are REAL (GTDB metadata / public NCBI assemblies) — none fabricated, all re-downloadable.
# status: LOCKED = decided, accession verified; CONFIRM = accession real, verify type-strain representative first.
# Extend by adding a row (any bacterial family): give the sister taxon + a real GC[AF]_ accession.
#
# Columns:
#
tree_scope	ingroup_taxon	family	outgroup_genus	outgroup_species_strain	assembly_accession	status	rationale
# ---------- GENUS-LEVEL trees (root on a sister genus, same family) ----------
genus	Nocardia	Nocardiaceae	Rhodococcus	Rhodococcus erythropolis	GCF_017656525.1	LOCKED	sister genus, same family
genus	Micromonospora	Micromonosporaceae	Actinoplanes	Actinoplanes missouriensis 431	GCF_000284295.1	LOCKED	sister genus; not Verrucosispora (synonymized into Micromonospora). Alex RULED 2026-09-15: the organism name stands; the accession previously in this row (GCF_039528075.1) resolves at NCBI Assembly to Catellatospora coxensis, so it was replaced by the A. missouriensis 431 type-material reference genome (NCBI fromtype = assembly from type material; NBRC 102363; complete genome)
genus	Actinomadura	Thermomonosporaceae	Actinocorallia	Actinocorallia herbida	GCF_003751225.1	LOCKED	sister genus; not Spirillospora (nests inside Actinomadura)
genus	Saccharopolyspora	Pseudonocardiaceae	Pseudonocardia	Pseudonocardia thermophila ATCC 19285 (NR_118886.1)	16S_local_RefSeq	LOCKED	Alex RULED 2026-09-07: "Saccahropolyspora outgroup: Pseudonocardia". Replaces Actinopolyspora, whose registry row was LOCKED but never REALISED: the name-based fetch returned NR_179169.1, which is Phytoactinopolyspora halophila, NOT Actinopolyspora halophila (NR_044818.1) - a different genus. P. thermophila measures 90.6%/1307nt to the nearest ingroup member vs the ingroup's own most isolated member at 92.9%/1381nt, so it is genuinely outside. Same family (Pseudonocardiaceae) and now CONSISTENT with the Saccharothrix row.
genus	Peterkaempfera	Streptomycetaceae	Kitasatospora	Kitasatospora setae KM-6054T	GCF_000269985.1	LOCKED	sister genus (type strain)
genus	Streptomyces	Streptomycetaceae	Gordonia	Gordonia bronchialis DSM 43247 (NR_074529.1)	16S_local_RefSeq	LOCKED	Alex RULED 2026-09-07: Kitasatospora -> Gordonia. Kitasatospora is too close to root Streptomyces at 16S. CORRECTED 2026-09-08: this row previously called it a failure on THREE panels, but bee figures K. setae +0.2 is a gate PASS — outgroup_sanity_gate.py returns exit 0 (PASS, BOUNDARY) for any margin under 1.0, and the footer records K. setae PASS -1.5 on the Streptomyces panel. The ruling rests on TWO measured failures and on Gordonia's clear margins, not three: bee figures K. setae +0.2 is BOUNDARY (216 tips), streptomyces refpkg K. albolonga +1.5 (99.9%/1452nt to a panel member), moss panel K. setae +1.2 (67 tips). All three clear on Gordonia: -5.9, -1.5, -6.6. Out-of-family (Nocardiaceae) but same phylum, which is the right rank for a SINGLE-FAMILY panel; a multi-family panel needs out-of-phylum (see the ladder in the footer).
genus	Kitasatospora	Streptomycetaceae	Streptomyces	Streptomyces coelicolor A3(2)	GCF_008386545.1	CONFIRM	sister genus, same family
genus	Pseudonocardia	Pseudonocardiaceae	Actinosynnema	Actinosynnema mirum DSM 43827	GCF_000023245.1	LOCKED	sister genus, same family. Alex RULED 2026-09-15: the organism name stands; the accession previously in this row (GCA_018139085.1) resolves at NCBI Assembly to Actinosynnema pretiosum subsp. pretiosum, so it was replaced by the A. mirum DSM 43827 type-material reference genome (NCBI fromtype = assembly from type material; complete genome)
genus	Amycolatopsis	Pseudonocardiaceae	Actinosynnema	Actinosynnema mirum DSM 43827	GCF_000023245.1	LOCKED	sister genus, same family. Alex RULED 2026-09-15: organism name stands; accession corrected from GCA_018139085.1 (= A. pretiosum at NCBI) to the A. mirum DSM 43827 type-material genome
genus	Kribbella	Nocardioidaceae	Nocardioides	Nocardioides albus	GCF_014191915.1	LOCKED	sister genus, same family
