strain_id,accession,organism,species,release_flag,engine_version,strain_total_bgcs,bgc_class,n_bgcs_in_class,ab_max,ab_mean,af_max,af_mean,comparative_eligible
NZ_JBKORD000000000_1,NZ_JBKORD000000000.1,Nocardia arseniciresistens,arseniciresistens,PUBLIC,1.9.96,52,NRPS,24,63.0,43.8,58.0,34.9,True
NZ_JBKORD000000000_1,NZ_JBKORD000000000.1,Nocardia arseniciresistens,arseniciresistens,PUBLIC,1.9.96,52,other,15,53.0,32.5,38.0,25.7,True
NZ_JBKORD000000000_1,NZ_JBKORD000000000.1,Nocardia arseniciresistens,arseniciresistens,PUBLIC,1.9.96,52,PKS,13,63.0,40.7,46.0,34.0,True
NZ_JBKORD000000000_1,NZ_JBKORD000000000.1,Nocardia arseniciresistens,arseniciresistens,PUBLIC,1.9.96,52,terpene,8,45.0,33.8,46.0,33.5,True
NZ_JBKORD000000000_1,NZ_JBKORD000000000.1,Nocardia arseniciresistens,arseniciresistens,PUBLIC,1.9.96,52,saccharide,6,63.0,53.7,58.0,39.3,False
NZ_JBKORD000000000_1,NZ_JBKORD000000000.1,Nocardia arseniciresistens,arseniciresistens,PUBLIC,1.9.96,52,RiPP,5,74.0,49.2,36.0,27.2,True
NZ_JBKORD000000000_1,NZ_JBKORD000000000.1,Nocardia arseniciresistens,arseniciresistens,PUBLIC,1.9.96,52,fatty_acid,5,41.0,29.8,38.0,25.2,False
NZ_JBKORD000000000_1,NZ_JBKORD000000000.1,Nocardia arseniciresistens,arseniciresistens,PUBLIC,1.9.96,52,beta-lactam/lactone,3,49.0,34.3,32.0,25.3,True
NZ_JBKORD000000000_1,NZ_JBKORD000000000.1,Nocardia arseniciresistens,arseniciresistens,PUBLIC,1.9.96,52,aminopolycarboxylic-acid,2,53.0,43.0,36.0,32.0,True
NZ_JBKORD000000000_1,NZ_JBKORD000000000.1,Nocardia arseniciresistens,arseniciresistens,PUBLIC,1.9.96,52,quinone_isoprenoid_chain,2,45.0,37.0,42.0,33.0,True
NZ_JBKORD000000000_1,NZ_JBKORD000000000.1,Nocardia arseniciresistens,arseniciresistens,PUBLIC,1.9.96,52,siderophore/metallophore,2,45.0,45.0,46.0,43.0,True
NZ_JBKORD000000000_1,NZ_JBKORD000000000.1,Nocardia arseniciresistens,arseniciresistens,PUBLIC,1.9.96,52,linaridin,2,37.0,35.0,24.0,22.0,True
NZ_JBKORD000000000_1,NZ_JBKORD000000000.1,Nocardia arseniciresistens,arseniciresistens,PUBLIC,1.9.96,52,arylpolyene,2,41.0,37.0,38.0,33.0,True
NZ_JBKORD000000000_1,NZ_JBKORD000000000.1,Nocardia arseniciresistens,arseniciresistens,PUBLIC,1.9.96,52,terpene-precursor,2,29.0,27.0,30.0,28.0,True
NZ_JBKORD000000000_1,NZ_JBKORD000000000.1,Nocardia arseniciresistens,arseniciresistens,PUBLIC,1.9.96,52,halogenated,1,37.0,37.0,24.0,24.0,True
NZ_JBKORD000000000_1,NZ_JBKORD000000000.1,Nocardia arseniciresistens,arseniciresistens,PUBLIC,1.9.96,52,ectoine,1,29.0,29.0,24.0,24.0,True
NZ_JBKORD000000000_1,NZ_JBKORD000000000.1,Nocardia arseniciresistens,arseniciresistens,PUBLIC,1.9.96,52,butyrolactone,1,29.0,29.0,24.0,24.0,True
NZ_JBKORD000000000_1,NZ_JBKORD000000000.1,Nocardia arseniciresistens,arseniciresistens,PUBLIC,1.9.96,52,ni-siderophore,1,29.0,29.0,28.0,28.0,True
NZ_JBKORD000000000_1,NZ_JBKORD000000000.1,Nocardia arseniciresistens,arseniciresistens,PUBLIC,1.9.96,52,hydrogen-cyanide,1,25.0,25.0,20.0,20.0,True
NZ_QCYJ00000000_1,NZ_QCYJ00000000.1,Nocardia aurea,aurea,PUBLIC,1.9.96,33,PKS,13,63.0,43.5,46.0,34.8,True
NZ_QCYJ00000000_1,NZ_QCYJ00000000.1,Nocardia aurea,aurea,PUBLIC,1.9.96,33,other,13,51.0,31.8,46.0,26.0,True
NZ_QCYJ00000000_1,NZ_QCYJ00000000.1,Nocardia aurea,aurea,PUBLIC,1.9.96,33,NRPS,10,63.0,47.6,46.0,38.0,True
NZ_QCYJ00000000_1,NZ_QCYJ00000000.1,Nocardia aurea,aurea,PUBLIC,1.9.96,33,fatty_acid,6,29.0,27.7,30.0,23.7,False
NZ_QCYJ00000000_1,NZ_QCYJ00000000.1,Nocardia aurea,aurea,PUBLIC,1.9.96,33,saccharide,5,63.0,48.6,46.0,32.0,False
NZ_QCYJ00000000_1,NZ_QCYJ00000000.1,Nocardia aurea,aurea,PUBLIC,1.9.96,33,terpene,4,45.0,36.5,46.0,37.5,True
NZ_QCYJ00000000_1,NZ_QCYJ00000000.1,Nocardia aurea,aurea,PUBLIC,1.9.96,33,RiPP,2,49.0,41.0,32.0,26.0,True
NZ_QCYJ00000000_1,NZ_QCYJ00000000.1,Nocardia aurea,aurea,PUBLIC,1.9.96,33,butyrolactone,2,43.0,36.0,38.0,31.0,True
NZ_QCYJ00000000_1,NZ_QCYJ00000000.1,Nocardia aurea,aurea,PUBLIC,1.9.96,33,arylpolyene,2,33.0,31.0,28.0,26.0,True
